scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-3661,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/roasted-sesame-salad-dressing/1-porsi,Kewpie,Roasted Sesame Salad Dressing,1 porsi (25 ml),100_kkal,"9,00g","1,500g",0,0,"1,00g",0,0,"4,00g",260mg,0,0,0
1715569705-3662,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/ceasar-salad-dressing/1-sendok,Kewpie,Ceasar Salad Dressing,1 sendok (25 ml),80_kkal,"8,00g","1,500g",0,0,"0,00g",0,0,"1,00g",370mg,0,0,0
1715569705-3663,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/salad-dressing-dengan-wijen-sangrai/1-takaran-saji,Kewpie,Salad Dressing dengan Wijen Sangrai,1 takaran saji (25 ml),90_kkal,"9,00g","1,500g","0,000g",0,"1,00g",0,"0,0g","4,00g",260mg,0mg,0,0
1715569705-3664,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/caesar/1-porsi,Kewpie,Caesar,1 porsi (25 ml),80_kkal,"6,00g",0,0,0,"1,00g",0,0,0,0,0,0,0
1715569705-3665,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/saus-siram-wijen-sangrai/1-porsi,Kewpie,Saus Siram Wijen Sangrai,1 porsi (25 ml),100_kkal,"9,00g","1,500g",0,0,"1,00g",0,0,"4,00g",260mg,0,0,0
1715569705-3666,https://www.fatsecret.co.id/kalori-gizi/search?q=Khong Guan,https://www.fatsecret.co.id/kalori-gizi/khong-guan/malkist-crackers/2-keping,Khong Guan,Malkist Crackers,2 keping (18 g),80_kkal,"3,00g","1,500g",0,0,"2,00g",0,0,"2,00g",100mg,0,0,0
1715569705-3667,https://www.fatsecret.co.id/kalori-gizi/search?q=Khong Guan,https://www.fatsecret.co.id/kalori-gizi/khong-guan/saltcheese/4-keping,Khong Guan,Saltcheese,4 keping (16 g),80_kkal,"3,00g",0,0,0,"2,00g",0,"1,0g","2,00g",110mg,0,0,0
1715569705-3668,https://www.fatsecret.co.id/kalori-gizi/search?q=Khong Guan,https://www.fatsecret.co.id/kalori-gizi/khong-guan/biskuit-coklat/1-porsi,Khong Guan,Biskuit Coklat,1 keping (30 g),140_kkal,"5,00g",0,0,0,"2,00g",0,0,"7,00g",65mg,0,0,0
1715569705-3669,https://www.fatsecret.co.id/kalori-gizi/search?q=Khong Guan,https://www.fatsecret.co.id/kalori-gizi/khong-guan/cream-crackers/2-keping,Khong Guan,Cream Crackers,4 keping (16 g),70_kkal,"2,50g","1,000g",0,0,"1,00g",0,0,"0,00g",100mg,0,0,0
1715569705-3670,https://www.fatsecret.co.id/kalori-gizi/search?q=Khong Guan,https://www.fatsecret.co.id/kalori-gizi/khong-guan/saltcheese-combo/1-bungkus,Khong Guan,Saltcheese Combo,1 bungkus (17 g),80_kkal,"4,00g","2,000g",0,0,"1,00g",0,0,"5,00g",50mg,0,0,0
